word,gramatica,defini,de,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,gl,he,mt,ru
atom,nom fisica,la unia fundal de un elemento cimical,Atom,atom,NA,átomo,atome,NA,NA,NA,de elinica atomos (nondividable),NA,NA,NA,NA,NA,atom,NA,he: אטום,NA,NA
auto,nom veculo,un veculo de strada,Auto,car,NA,coche,voiture,NA,NA,automobil,NA,NA,NA,NA,NA,NA,bil,NA,he: מכונית,NA,NA
bus,nom veculo,un veculo grande per transporta pasajores par stradas e vias,Bus,bus,NA,autobús,bus,NA,NA,NA,NA,NA,NA,NA,NA,NA,bus,autobús,he: אוטובוס,NA,NA
gas,nom fisica,un materia fluente como aira,Gas,gas,NA,gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gas,NA,NA,NA,NA
iris,nom anatomia planta,un membrana plata e colorida ante la cornea de la oio; un planta con folias spadin e flores estravagante,Iris,iris (eye,NA,iris (ojo,NA,NA,NA,NA,NA,Iris,NA,NA,NA,NA,iris,NA,NA,NA,NA
mais,nom planta cosini,un planta sereal con granes grande; esta granes,Mais,corn,NA,maíz,NA,NA,NA,NA,NA,Zea mays,NA,NA,NA,NA,majs,NA,NA,NA,NA
mineral,nom,NA,Mineral,mineral,NA,mineral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mineral,NA,NA,NA,NA
motor,nom util,un macina cual furni la potia per move un veculo o per opera un otra macina con partes movente,Motor,motor,NA,motor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,motor,NA,NA,NA,NA
natur,nom biolojia,la fenomenos de la mundo fisical,Natur,nature,NA,naturaleza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natur,NA,NA,NA,NA
neon,nom cimica,la elemento cimical con numero atomal 10,Neon,neon,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ne,NA,NA,neon,NA,NA,NA,NA
oval,ajetivo matematica,con forma ronda e cuasi longida,Oval,oval,NA,óvalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oval,NA,NA,NA,NA
pedal,nom util,un lever operada par un pede,Pedal,pedal,NA,pedal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pedal,NA,NA,NA,NA
penis,nom anatomia,la organo mas de reprodui en vertebratos alta,Penis,penis,NA,pene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,penis,NA,NA,NA,NA
person,nom filosofia siensa-umana,un umana videda como un individua; un organisme con consensia simil a un umana,Person,person,NA,persona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,person,NA,NA,NA,NA
problem,nom,un situa,Problem,problem; difficulty,problemo,problema,problème,NA,NA,NA,NA,NA,NA,NA,NA,NA,problem,NA,NA,NA,NA
sofa,nom arciteta,un seja longa e tapetida con un dorso,Sofa,sofa,sofo,sofá,sofa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: софа
telefon,nom util,un aparato cual cambia vibras de sona a siniales eletrical e la reversa,Telefon,telephone,NA,teléfono,téléphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,telefon,NA,NA,NA,ru: телефон
temperatur,nom,la grado de caldia presente en un materia o ojeto,Temperatur,temperature,NA,temperatura,température,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperatur,NA,NA,NA,NA
tomate,nom planta cosini,un planta de America Sude en familia de solano; la fruta pulposa e roja o jala de esta,Tomate,tomato,NA,tomate,tomate,NA,NA,NA,NA,Solanum lycopersicum,NA,NA,NA,NA,tomat,NA,NA,NA,NA
tornado,nom tera,un vortis de ventas destruinte cual aspeta como un nube embutin e avansa su un tempesta grande,Tornado,tornado,NA,tornado,tornade,NA,NA,NA,NA,NA,NA,NA,NA,NA,tornado,NA,NA,NA,NA
veranda,nom arciteta,un plataforma con teto a la lado de un casa,Veranda,veranda,NA,porche,véranda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: веранда
virus,nom biolojia medica informatica,un organisme infetante,Virus,virus,NA,virus,virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,virus,NA,NA,NA,NA
Afganistan,nom jeografial,un pais en Asia sude e Asia sentral,Afghanistan,Afghanistan,Afganio,Afganistán,Afghanistan,Kabul,NA,NA,NA,NA,NA,NA,NA,NA,Afghanistan,NA,אפגניסטן,NA,ru: Афганистан
axa,nom util,un util tipal usada per talia lenio,Axt,axe|ax,NA,hacha,hache,NA,NA,NA,NA,NA,NA,NA,NA,NA,økse,NA,he: גרזן,NA,NA
bal,nom sporte,un sfera o oval,Ball,ball,NA,balón,ballon,NA,NA,NA,NA,NA,NA,NA,NA,NA,bold,bóla,he: כדור,NA,NA
balon,nom,NA,Ballon,balloon; (speech) bubble,NA,globo (aerostático),ballon,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballon,NA,he: בלון,NA,NA
bambu,nom planta,un erba leniosa e jigante cual abita xef la tropicos; la talo de esta,Bambus,bamboo (plant,NA,bambú (planta,bambou,NA,NA,NA,NA,Bambusa,NA,NA,NA,NA,bambus,NA,he: במבוק,NA,NA
banana,nom planta cosini,un arbor tropical con folias multe grande e frutas cual crese en grupos; la fruta comable de esta,Banane,banana (plant,NA,plátano,banane; bananier,NA,NA,NA,NA,Musa,NA,NA,NA,NA,banan,NA,he: בננה,NA,NA
basebal,nom sporte,un sporte con du ecipos de nove juores en cual on colpa un bal peti con un baston e core sirca un diamante de bases,Baseball,baseball,NA,béisbol,baseball,NA,NA,NA,NA,NA,NA,NA,NA,NA,baseball,NA,he: בייסבול,NA,NA
bir,nom cosini,un bevida alcolosa fermentada de malta e saborida con lupulos,Bier,beer,NA,cerveza,bière,NA,NA,NA,NA,NA,NA,NA,NA,NA,øl,NA,he: בירה,NA,NA
bloco,nom arciteta,un peso de materia grande,Block,block,NA,bloque,bloc,NA,NA,NA,NA,NA,NA,NA,NA,NA,blok,NA,he: גוש,NA,NA
bomba,nom cimica util,un contenador plen de materia esplodente e ensendente,Bombe,bomb,NA,bomba,bombe,NA,NA,NA,NA,NA,NA,NA,NA,NA,bombe,NA,he: פצצה,NA,NA
Burcina Faso,nom jeografial,un pais sin costa en Africa ueste,Burkina Faso,Burkina Faso,Burkino,NA,Burkina Faso,Ouagadougou,NA,NA,NA,NA,NA,NA,NA,NA,Burkina Faso,NA,בורקינה פאסו,NA,ru: Буркина-Фасо
canal,nom,un rio artifis,Kanal,canal,NA,canal,canal,NA,NA,NA,NA,NA,NA,NA,NA,NA,kanal,canle,he: תעלה,NA,NA
club,nom,un asosia dedicada a un interesa o ativia spesifada,Klub,club,NA,NA,club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מועדון,NA,NA
cultur,nom siensa-umana,la abituas,Kultur,culture,NA,cultura,culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,kultur,NA,he: תרבות,NA,NA
familia,nom siensa-umana,un grupo de persones composada de persones relatada par sangue o sposi,Familie,family,NA,familia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,familie,NA,NA,NA,NA
fe,nom mitolojia,un organisme mital,Fee,fairy,NA,hada,NA,NA,NA,NA,NA,NA,NA,NA,NA,fada,fe,NA,NA,NA,NA
forma,nom,la aspeta de la contorno de un cosa en du o tre dimensiones; la posa de la partes de un cosa; la fortia e sania de la corpo de un person; la regulas de condui en sosia cortes,Form,form,NA,forma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,form,NA,NA,NA,NA
idea,nom filosofia siensa-umana,un pensa,Idee,idea,ideo,idea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ide,NA,NA,NA,NA
jen,nom biolojia,un unia de erita,Gen,gene,NA,gen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gen,NA,NA,NA,NA
lampa,nom util,un aparato per lumina,Lampe,lamp,NA,lámpara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lampe,NA,NA,NA,NA
linia,nom,un marca o banda longa e streta; (en matematica) un estende continuante de longia sin largia; un cuantia de persones o cosas en un tal forma,Linie,line,NA,línea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,linie,NA,NA,NA,NA
magnete,nom fisica,un peso de fero cual atrae otra ojetos conteninte fero,Magnet,magnet,NA,imán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,magnet,NA,NA,NA,NA
medisin,nom medica,un droga usada per trata o preveni maladia,Medizin,medicine (drugs),NA,medicina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medicin,NA,NA,NA,NA
metal,nom,NA,Metall,metal,NA,metal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,metal,NA,NA,NA,NA
milion,determinante matematica,{1(~)000(~)000},Million,(a) million,NA,millón,NA,NA,On dise `du milion`,NA,NA,NA,NA,NA,NA,NA,million,NA,NA,NA,NA
minuto,nom,un periodo de tempo egal a 60 secondos o un sesdesi de un ora; un sesdesi de un grado angulo,Minute,minute,NA,minuto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,minut,NA,NA,NA,NA
moda,nom veste cosini linguistica informatica,un tende popular,Mode,fashion,NA,moda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mode,NA,NA,NA,NA
mus,nom mamal informatica,un rodente peti con beco puntida,Maus,mouse,NA,ratón,NA,NA,NA,NA,NA,Mus,NA,NA,NA,NA,mus,NA,NA,NA,NA
narval,nom mamal,un balena peti de la Mar Artica,Narwal,narwhal (whale),NA,narval,narval,NA,NA,NA,NA,Monodon monoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA
nas,nom anatomia,la parte supra la boca de un person o animal,Nase,nose,NA,nariz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,næse,NA,NA,NA,NA
nasion,nom governa,un colie grande de persones,Nation,nation,NA,nación,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nation,NA,NA,NA,NA
nervo,nom anatomia,un fibre blancin,Nerv,nerve,NA,nervio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nerve,NA,NA,NA,NA
norde,nom,NA,Nord,north,NA,norte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nord,NA,NA,NA,NA
oliva,nom,un fruta peti e oval con seme dur e pulpa amarga,Olive,olive (fruit),NA,oliva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
otel,nom arciteta,un instituida cual furni un abiteria tempora,Hotel,hotel,NA,hotel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hotel,NA,NA,NA,NA
paper,nom util,la materia fabricada en folias magra de la pulpa de lenio o otra materias fibrosa,Papier,paper,NA,papel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,papir,NA,NA,NA,NA
parlamento,nom governa,la institui la plu alta per crea leges en un nasion o stato,Parlament,parliament,NA,parlamento,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parlament,NA,NA,NA,NA
piza,nom cosini,un comeda italian,Pizza,pizza,NA,pizza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pizza,NA,NA,NA,NA
planeta,nom astronomia,un masa grande en spasio cual move en un orbita elise sirca un stela,Planet,planet,planedo,planeta,planète,NA,NA,NA,NA,NA,NA,NA,NA,NA,planet,NA,NA,NA,NA
posta,nom,NA,Post,post,poŝto,correo,courrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: почта (письма и т.п.)
profesor,nom governa,un mestre o ensenior con un diploma avansada,Professor,professor,profesoro,profesor,professeur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: профессор
program,nom informatica,un desinia o projeta per un prosede,Programm,program|programme,programo,programa,programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,program,NA,NA,NA,NA
protesta,nom,NA,Protest,protest,protesto,protesta,protestation; manifestation,NA,NA,NA,NA,NA,NA,NA,NA,NA,protest,NA,NA,NA,NA
resta,nom,NA,Rest,remainder,resto,resto,repos,NA,NA,NA,NA,NA,NA,NA,NA,NA,rest,NA,NA,NA,NA
ris,nom planta cosini,un erba de pantanes cual es comun cultivada,Reis,rice,rizo,arroz,riz,NA,NA,NA,NA,Oryza sativa,NA,NA,NA,NA,ris,NA,NA,NA,NA
rituo,nom siensa-umana relijio,un serie de atas tradisional per selebra un aveni publica o relijiosa,Ritus,ritual,rito,ritual,rituel,NA,NA,NA,NA,NA,NA,NA,NA,NA,ritual,NA,NA,NA,NA
rosa,nom planta,un arboreta cual produi tipal flores bonodorosa roja,Rose,rose,rozo,rosal,rose,NA,NA,NA,NA,Rosa,NA,NA,NA,NA,rose,NA,NA,NA,NA
saco,nom util,un contenador de material flexable,Sack,bag,sako,saco,sac,NA,NA,NA,NA,NA,NA,NA,NA,NA,sæk,NA,NA,NA,NA
sal,nom cimica cosini,clorido de sodio,Salz,salt,salo,sal,sel,NA,NA,NA,NA,NA,NA,NA,NA,NA,salt,NA,NA,NA,ru: соль
sandal,nom veste,un sapato lejera de cual sua planta es liada a sua pede par bandas,Sandale,sandal,sandalo,sandalia,sandale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: сандалия
sci,nom sporte,cada de du pesos longa e magra de un materia flexable,Schi,ski; skiing,skio,esquí,(un) ski; (le) ski,NA,NA,NA,NA,NA,NA,NA,NA,NA,ski,NA,NA,NA,NA
sesamo,nom planta cosini,un planta alta de zonas tropical e sutropical de Africa e Asia,Sesam,sesame (plant,sezamo,sésamo,sésame,NA,NA,NA,NA,Sesamum,NA,NA,NA,NA,sesamfrø,NA,NA,NA,NA
sistem,nom filosofia,un colie de partes cual formi un intera complicada como un rede o macina; (en biolojia) un colie de organos en la corpo con strutur o funsiona comun; (en informatica) un grupo relatada de aparatos o programes o ambos,System,system,sistemo,sistema,système,NA,NA,NA,NA,NA,NA,NA,NA,NA,system,NA,NA,NA,NA
soldato,nom governa,un person ci servi en un armada,Soldat,soldier,soldato,soldado,soldat,NA,NA,NA,NA,NA,NA,NA,NA,NA,soldat,NA,NA,NA,ru: солдат
