word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
ambrosia,nom mitolojia cosini,la comeda prefereda de la dios elinica antica; (metafor) un comeda estrema deletosa; un planta de America Norde en familia de margarita,ambrosia,NA,NA,ambroisie,NA,NA,NA,de elinica ambrotos (nonmortal),Ambrosia,NA,NA,NA,NA,NA,NA,NA,he: אמברוסיה,NA,NA
cable,nom,un filo o filos isolida par un gaina protejente e usada per transmete eletrica o siniales de telecomunica,cable,NA,cable,cable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כבל,NA,NA
femto-,prefisa tecnical,{10^-15},femto-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
servomotor,nom util,la parte de un servomacina cual furni la move,servomotor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,nom jeografial,un pais en Africa sentral a sude de Ruanda e a la lado norde-este de la Lago Tanganyika,Burundi,NA,NA,Burundi,Bujumbura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בורונדי,NA,NA
ideal,ajetivo filosofia,desirada o perfeta,ideal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
secrete,verbo transitiva biolojia,(un selula,secrete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
veranda,nom arciteta,un plataforma con teto a la lado de un casa,veranda,NA,porche,véranda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Veranda,NA,NA,NA,ru: веранда
transistor,nom informatica fisica,un semicondutador con tre juntas,transistor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
criminal,ajetivo,NA,criminal,NA,NA,criminel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עברייני,NA,NA
oval,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deplorable,ajetivo,NA,deplorable,NA,NA,déplorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מצער,NA,NA
Barbados,nom jeografial,un pais e isola en la Mar Caribe este,Barbados,NA,NA,Barbades,Bridgetown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ברבדוס,NA,NA
metal,ajetivo fisica,(un materia) solida,metal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
si,nom musica,la nota sete de la scala de C major,si,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
variable,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zanzibar,nom jeografial,un isola a costa de Africa este e un parte de Tanzania,Zanzibar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iberia,nom jeografial,la penisola de Europa sude-ueste cual conteni Espania e Portugal,Iberia,Iberio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scorpion,nom artropodo,un aracnido con pinses simil a los de un omaro e un pica venenosa a la fini de sua coda sesionida,scorpion,NA,NA,NA,NA,NA,NA,NA,Scorpiones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
balaclava,nom veste,un veste cual covre la testa e colo estra partes de la fas,balaclava,NA,NA,passe-montagne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כובע גרב,NA,NA
Armenia,nom jeografial,un otra nom per Haiastan,Armenia,NA,NA,Arménie,NA,NA,Haiastan,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ארמניה,NA,NA
dingo,nom mamal,un can savaje o cuasi domada con pelo pal brun,dingo,NA,NA,dingo,NA,NA,NA,NA,Canis lupus dingo,NA,NA,NA,NA,NA,NA,NA,he: דינגו,NA,NA
gang,nom governa,un grupo organizada de criminales; un grupo de jovenes envolveda en crimin o violentia minor; un grupo de jovenes ci asosia con lunlotra; un grupo organizada de persones ci labora par mano,gang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,determinante,zero,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,no person ia responde; el ia trova no problemes,NA,NA,kein,NA,NA,NA,NA
desirable,ajetivo,NA,desirable,NA,NA,désirable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: רצוי,NA,NA
binomial,ajetivo,NA,binomial,NA,NA,binomial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בינומי,NA,NA
sandal,nom veste,un sapato lejera de cual sua planta es liada a sua pede par bandas,sandal,sandalo,sandalia,sandale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sandale,NA,NA,NA,ru: сандалия
anemone,nom planta,un planta en familia de ranunculo,anemone,NA,NA,anémone,NA,NA,NA,NA,Anemone,NA,NA,NA,NA,NA,NA,NA,he: כלנית,NA,NA
y,simbol,la letera 25 de la alfabeta roman,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clitoris,nom anatomia,un parte peti,clitoris,NA,NA,clitoris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דגדגן,NA,NA
no,esclama,donante un responde negativa a la demanda o declara presedente; ance ajuntada a la fini de un frase per cambia lo a un demanda,no; (question tag) eh?,NA,NA,NA,NA,En `tu labora en la scola,si,NA,NA,NA,NA,NA,NA,nej,nein,NA,NA,NA,NA
tormentor,nom,NA,tormentor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
camera,nom util arte,un strumento otical cual rejistra imajes fotografial o sinematografial,camera,NA,NA,appareil photo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מצלמה,NA,NA
scandal,nom governa,un ata o aveni regardada como nonmoral o nonlegal,scandal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
formal,ajetivo siensa-umana,fada seguente la regulas de tradision o cortesia,formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
preferable,ajetivo,NA,preferable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serial,ajetivo,NA,serial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fax,nom util informatica,un imaje de un documento creada par scane eletronical e telecomunica,fax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
augur,nom istoria,(en Roma antica) un ofisior relijial ci ia oserva sinias natural,augur,NA,NA,augure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: נביא,NA,NA
epigram,nom arte,un comenta o poesia corta e astuta,epigram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bonobo,nom mamal,un ximpanze con fas e capeles negra,bonobo,NA,NA,bonobo (singe),NA,NA,NA,NA,Pan paniscus,NA,NA,NA,NA,NA,NA,NA,he: בונובו (שימפנזה),NA,NA
bolero,nom musica,un dansa espaniol; un musica per esta; un jaca corta e abrida per femes,bolero,NA,NA,boléro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בולרו (ריקוד),NA,NA
trauma,nom,NA,trauma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
natural,ajetivo,NA,natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental,nom,NA,dental (consonant),NA,NA,dentale (consonne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עיצור שיני,NA,NA
botanical,ajetivo,NA,botanical,NA,NA,botanique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בוטני,NA,NA
drama,nom arte,un nara presentada par atores en teatro,drama,NA,NA,drame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מחזה,NA,NA
move,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lever,nom util,un bara cual reposa sur un fulcro,lever,NA,palanca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,løftestang,Hebel,NA,NA,NA,NA
club,nom,un asosia dedicada a un interesa o ativia spesifada,club,NA,NA,club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Klub,NA,he: מועדון,NA,NA
auto-,prefisa,ajuntante la idea de automati o de pertine a se mesma,auto-,NA,NA,auto- (préfixe),NA,NA,NA,de elinica autos (me mesma),NA,NA,NA,autopilote; autodestrui,NA,NA,NA,NA,he: (קידומת) אוטומציה; ביחס לעצמו,NA,NA
radio,nom fisica util,la transmete e reseta de ondas eletromagnetal de alga frecuentia,radio,radio,radio,radio,NA,NA,NA,NA,NA,NA,NA,NA,NA,radio,Radioapparat,NA,NA,NA,NA
