word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru,word_id,sim
diagonal,ajetivo matematica,(un linia) reta e apoiada,diagonal,NA,diagonal,diagonal,NA,NA,NA,NA,NA,NA,NA,NA,NA,diagonal,diagonal,NA,he: אלכסוני,NA,NA,2657,0
normal,averbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6045,0
normal,ajetivo,NA,normal,NA,normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normal,normal,NA,NA,NA,NA,6045,0
Burcina Faso,nom jeografial,un pais sin costa en Africa ueste,Burkina Faso,Burkino,NA,Burkina Faso,Ouagadougou,NA,NA,NA,NA,NA,NA,NA,NA,Burkina Faso,Burkina Faso,NA,בורקינה פאסו,NA,ru: Буркина-Фасо,1341,1
do,sujunta,(introduinte un suproposa averbin) en la loca en cual,where,NA,NA,où,NA,NA,NA,NA,NA,NA,NA,me es felis do me senta; los escava su do on ia trova la osos,NA,NA,NA,NA,he: היכן ש,NA,NA,2806,1
canal,nom,un rio artifis,canal,NA,canal,canal,NA,NA,NA,NA,NA,NA,NA,NA,NA,kanal,Kanal,canle,he: תעלה,NA,NA,1489,1
penis,nom anatomia,la organo mas de reprodui en vertebratos alta,penis,NA,pene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,penis,Penis,NA,NA,NA,NA,6677,1
positiva,ajetivo,distinguida par la presentia de cualias en loca de sua asentia; indicante la presentia de alga cosa; espresante afirma,positive,pozitiva,positivo,positif,NA,NA,NA,NA,NA,NA,NA,NA,NA,positiv,positiv,NA,NA,NA,NA,7128,1
auto,nom veculo,un veculo de strada,car,NA,coche,voiture,NA,NA,automobil,NA,NA,NA,NA,NA,NA,bil,Auto,NA,he: מכונית,NA,NA,785,1
paralel,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6515,1
