word_id,word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
286,amfi-,prefisa tecnical,ambos,amphi-,NA,NA,amphi-,NA,NA,NA,de elinica amphi- (ambos,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שני הצדדים,NA,NA
2406,cuatri-,prefisa tecnical,un cuatri de,quarter-,NA,NA,quart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) רבע,NA,NA
3733,foto-,prefisa tecnical,lus o fotografia,photo- (light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3874,-gama,sufisa ajetivo siensa-umana biolojia,sposi,-gamous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,astro-,prefisa tecnical astronomia,stelas,astro-,NA,NA,astro-,NA,NA,NA,de elinica aster (stela),NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שקשור לכוכבים,NA,NA
320,-an,sufisa nom,nominte un abitor o lingua de un rejion spesifada,-an,NA,NA,-ain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת) אדם ששייך לעם או דובר השפה,NA,NA
2949,-edro,sufisa nom matematica,nominte solidas jeometrial,-hedron (geometric solid),NA,NA,-èdre (face d'un volume géométrique),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) צורה גאומטרית,NA,NA
7756,-s,sufisa,ajuntada per plurali un nom cual fini con un vocal,-s (plural of noun that ends in a vowel),NA,NA,NA,NA,NA,-es,NA,NA,NA,NA,gatos,NA,NA,NA,NA,NA,NA,NA
4701,jeo-,prefisa tecnical,tera,geo- (Earth),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2310,crico-,prefisa tecnical anatomia medica,con forma de anelo,crico-,NA,NA,crico-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) דמוי טבעת,NA,NA
640,-ase,sufisa nom cimica,enzima,-ase (enzyme),NA,NA,-ase (enzyme),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) אנזים,NA,NA
5876,nano-,prefisa tecnical,multe peti; {10^-9},nano- (tiny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2723,diplo-,prefisa tecnical,duple,diplo- (double),NA,NA,diplo- (double),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) כפול,NA,NA
4360,-in,sufisa ajetivo,ajuntada a un ajetivo o nom per formi un ajetivo descrivente un person o cosa con cualias o tendes simil,-ish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,amin; serpentin,NA,NA,NA,NA,NA,NA,NA
3666,-fobia,sufisa nom siensa-umana,teme,-phobia (fear),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3367,-eta,sufisa nom,ajuntada a un nom per nomi un varia plu peti,(smaller or simpler variant) -ette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,caseta; gradeta; boveta; camiseta; sibileta,NA,NA,NA,NA,NA,NA,NA
1575,cardio-,prefisa tecnical medica,cor,cardio- (heart),NA,NA,cardio- (cœur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שקשור בלב,NA,NA
545,arci-,prefisa tecnical,xef,archi-,NA,archi-,archi-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) ראשי,NA,NA
357,-andria,sufisa nom siensa-umana,mas,-andry,NA,NA,-andrie,NA,NA,NA,de elinica andr- (om),NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שקשור למין זכר,NA,NA
3100,endo-,prefisa tecnical,en,endo- (inside),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3377,etero-,prefisa tecnical,diferente,hetero- (different),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3451,-fajia,sufisa nom medica,come,-phagia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,auto-,prefisa,ajuntante la idea de automati o de pertine a se mesma,auto-,NA,NA,auto- (préfixe),NA,NA,NA,de elinica autos (me mesma),NA,NA,NA,autopilote; autodestrui,NA,NA,NA,NA,he: (קידומת) אוטומציה; ביחס לעצמו,NA,NA
321,-an,sufisa nom cimica,idrocarbono saturada,-an (saturated hydrocarbon),NA,NA,-ane (hydrocarbure saturé),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) פחמימה רוויה,NA,NA
72,acua-,prefisa tecnical,acua,aqua-,NA,NA,aqua-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת) שקשור למים,NA,NA
9891,zo-,prefisa tecnical,animales,zoo- (animal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3338,estra-,prefisa tecnical,a estra,extra- (outer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-a,sufisa nom,ajuntada a alga nomes mas con la coda `-o` per nomi la fema corespondente; ajuntada a la nom de un arbor con la coda `-o` per formi la nom de sua fruta o noza,female; fruit,NA,femenino,féminin,NA,NA,-o,NA,NA,NA,NA,tio/tia; pero/pera; oranio/orania,NA,NA,NA,NA,he: (סיומת) הצורה הנקבית (במילים מסוימות),NA,NA
2601,des-,prefisa verbo,ajuntada a un verbo per nomi la reversa de un ata,dis-,NA,NA,dé-,NA,`Des-` simpli a `de-` ante S,NA,NA,NA,NA,NA,descarga; dejela,NA,NA,NA,NA,he: (קידומת) הפעולה ההפוכה,NA,NA
3445,fago-,prefisa tecnical,come,phago- (eating),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4218,-ia,sufisa nom,ajuntada a un ajetivo o nom per nomi la cualia astrata de es tal; ajuntada a nomes de postos (e cosas simil) per nomi la estende de la posto en tempo o spasio,-ness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,felisia; en mea enfantia; la jornal de la bispia,NA,NA,NA,NA,NA,NA,NA
758,-atresia,sufisa nom medica,la asentia,-atresia (medical),NA,NA,-atrésie (médecine),NA,NA,NA,de elinica a- (sin) tresis (perfora),NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) חסימה של פתח בגוף,NA,NA
98,-ador,sufisa nom util,ajuntada per nomi un macina o util (o,-er (tool,-ilo,NA,-ateur,NA,NA,NA,NA,NA,NA,NA,computador; cloador; silentador; inibador,NA,NA,NA,NA,he: (סיומת) מכשיר או כלי,NA,NA
518,aracno-,prefisa tecnical,arania,arachno- (spider),NA,NA,arachno-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שקשור לעכבישים,NA,NA
3230,eritro-,prefisa tecnical,roja,erythro- (red),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,bon-,prefisa,ajuntada a un verbo per formi un verbo per un ata plu bon,good-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bonodori; bondise,NA,NA,NA,NA,he: (קידומת) בצורה טובה,NA,NA
3254,esa-,prefisa tecnical,ses,hex- (six),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,andro-,prefisa tecnical siensa-umana,mas,andro- (male),NA,NA,andro-,NA,NA,NA,de elinica andr- (om),NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שקשור למין זכר,NA,NA
2527,deca-,prefisa tecnical,(un mesura) multiplida par 10,deca- (ten),NA,NA,déca- (dix),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(קידומת טכנית) עשר,NA,ru: приставка со значением десятикратного увеличения
1657,cata-,prefisa tecnical,a su,cata-,NA,NA,cata- (vers le bas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) כלפי מטה,NA,NA
623,artro-,prefisa tecnical,juntas de corpo,arthro-,NA,NA,arthro-,NA,NA,NA,de elinica arthron (junta),NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שקשור למפרקים,NA,NA
6092,-o,sufisa nom,ajuntada a alga nomes fema con la coda `-a` per nomi la mas corespondente; ajuntada a la nom de un fruta con la coda `-a` per nomi sua arbor,male; tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ava/avo; poma/pomo,NA,NA,NA,NA,NA,NA,NA
2735,dis-,prefisa tecnical,mal,dys- (bad,NA,NA,dys- (mal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) רע,NA,NA
5882,narco-,prefisa tecnical,nonsensosa,narco- (stupor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
