word_id,word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
1,a,simbol,la letera prima de la alfabeta roman,a,NA,a,a (lettre de l'alphabet),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: האות הראשונה באלפבית הלטיני,NA,NA
2,a,preposada,indicante un loca o tempo como un punto simple - may be incomplete,at,ĉe,a,à,NA,Nota la difere entre `me instrui el a comprende` (cual sinifia `me instrui el afin _el_ comprende`) e `me instrui el per comprende` (cual sinifia `me instrui el afin _me_ comprende`). :: `Me instrui tu a comprende` means that I want _you_ to understand,ante,NA,NA,NA,NA,nos senta a la table; la barco es a mar; me va parti a la fini de la semana; a 26 julio 1887; a la ora des-sinco,NA,i,bei,en (no mesmo lugar que),ב-,NA,в
3,a,esclama,espresante ce on es surprendeda,ah,ha,ah,ah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,אה,NA,ru: ааа
4,a-,prefisa tecnical,non-,a-,NA,a-,a-,NA,NA,NA,de elenica a- (no,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) ללא,NA,NA
5,-a,sufisa nom,ajuntada a alga nomes mas con la coda `-o` per nomi la fema corespondente; ajuntada a la nom de un arbor con la coda `-o` per formi la nom de sua fruta o noza,female; fruit,NA,femenino,féminin,NA,NA,-o,NA,NA,NA,NA,tio/tia; pero/pera; oranio/orania,NA,NA,NA,NA,he: (סיומת) הצורה הנקבית (במילים מסוימות),NA,NA
6,aa,corti,ante aora,before now,antaŭ nun,hace...,il y a... (avant maintenant),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(קיצור) לפני,NA,ru: до сего (этого) момента
7,abaco,nom matematica util arciteta,un util per calcula con perletas liscable; un bloco plata sur la capital de un colona,abacus,abako,ábaco,boulier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,אבקוס,NA,ru: счёты
8,abade,nom relijio,la xef de un grupo de monces mas,abbot,abato,abad,abbé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ראש מנזר,NA,ru: аббат
8,abade xef,nom,NA,head abbot,NA,archimandrita (en iglesias ortodoxas e iglesias orientales católicas),archimandrite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ראש מנזר,NA,ru: архимандрит
8,abadal,ajetivo,NA,abbatial,NA,abacial,abbatiale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,מנזרי,NA,ru: аббатский
8,abaderia,nom,NA,abbey,abatejo,abadía,abbaye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,מנזר,NA,ru: аббатство
8,abadesa,nom,la xef de un grupo de monces fema,abbess,abatino,abadesa,abbesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ראש מנזר נשים,NA,ru: аббатиса
