words,freq,word_id,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
la,0.06879158617729127,4810,determinante,indicante un o plu persones o cosas ja notada o comun conoseda,the,NA,el,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-en,der,NA,NA,NA,NA
la,0.06879158617729127,4811,nom musica,la nota ses de la scala de C major,la (musical note),NA,la (nota musical),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
es,0.04567503756170852,3250,verbo liante,ave la state,be,NA,ser,NA,NA,NA,NA,NA,NA,NA,NA,tu es bela; lo es un jua,NA,være,sein,NA,NA,NA,NA
ia,0.039965657866494954,4217,averbo preverbal,usada direta ante un verbo finita per indica ce esta refere a un situa pasada,(indicating that a finite verb is in the past tense) -ed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,me ia espera ce tu es asi,NA,NA,NA,NA,NA,NA,NA
de,0.03792659368963297,2521,preposada,introduinte la orijina de un move o relata - may be incomplete,from,de,de,de,NA,NA,ante,NA,NA,NA,NA,me es de London; el ia parti de Paris; Frans es a norde de Espania; me ia sta a no plu ca un metre de la asidente; me estrae el de la casa; el ia es salvada de mori; el ia asconde de la polisia; un cavalo difere de un bove; aprende de tua frate; esta libro veni de la sentenio 17; la boteca funsiona de lundi asta jovedi; el labora de la ora cuando el velia,NA,fra,von (fort,NA,מ-,NA,(обозначает начальную точку движения или как уточнение к месту нахождения; обозначает место рождения и происхождения
un,0.030392788151963942,9407,determinante,indicante persones o cosas no ja notada o conoseda,a,NA,un,un,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,ein,NA,NA,NA,ru: один
un,0.030392788151963942,9407,ajetivo,NA,NA,NA,NA,NA,NA,La ajetivo `prima` es usual prefereda en loca de la usa ordinal de `un`. :: The adjective `prima` is usually preferable to the ordinal use of `un`.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
me,0.026228804464477357,5370,pronom,usada par un parlor per refere a se,I; me,NA,yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jeg,ich,NA,NA,NA,NA
a,0.018866709594333547,1,simbol,la letera prima de la alfabeta roman,a,NA,a,a (lettre de l'alphabet),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: האות הראשונה באלפבית הלטיני,NA,NA
a,0.018866709594333547,2,preposada,indicante un loca o tempo como un punto simple - may be incomplete,at,ĉe,a,à,NA,Nota la difere entre `me instrui el a comprende` (cual sinifia `me instrui el afin _el_ comprende`) e `me instrui el per comprende` (cual sinifia `me instrui el afin _me_ comprende`). :: `Me instrui tu a comprende` means that I want _you_ to understand,ante,NA,NA,NA,NA,nos senta a la table; la barco es a mar; me va parti a la fini de la semana; a 26 julio 1887; a la ora des-sinco,NA,i,bei,en (no mesmo lugar que),ב-,NA,в
a,0.018866709594333547,3,esclama,espresante ce on es surprendeda,ah,ha,ah,ah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,אה,NA,ru: ааа
en,0.01811547542391071,3086,preposada,a interna de; esente (o parente es) encluida o ensircada par - may be incomplete,in (a place or condition),en,en,dans,NA,NA,cuando,NA,NA,NA,NA,mea cor es en mea peto; ideas en la mente; nos es en peril; nos es en acorda; vive en felisia; los senta en un sirculo,NA,ind,in,NA,NA,NA,NA
en,0.01811547542391071,3087,nom mone,la unia de mone en Nion,yen (currency),eno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
