words,freq
la,0.06879158617729127
es,0.04567503756170852
ia,0.039965657866494954
de,0.03792659368963297
un,0.030392788151963942
me,0.026228804464477357
a,0.018866709594333547
en,0.01811547542391071
no,0.014316376904915218
tom,0.013608070401373686
e,0.013200257566001287
el,0.011654861558274308
tu,0.011182657222579953
ce,0.008091865207125992
ave,0.007447950203906418
esta,0.007233311869499892
plu,0.006804035200686843
nos,0.00669671603348358
cual,0.00661086069972097
per,0.0063318308649924875
esce,0.006160120197467268
lo,0.006052801030264005
sua,0.005988409529942048
va,0.005644988194891607
on,0.004958145524790728
multe,0.004786434857265508
con,0.004700579523502898
alga,0.004400085855333763
ita,0.004185447520927237
pote,0.00412105602060528
par,0.0039708091865207126
los,0.0038849538527581024
cuando,0.0032839665164198324
o,0.00309079201545396
fa,0.00291908134792874
sur,0.00291908134792874
gusta,0.0028976175144880875
mundo,0.0028976175144880875
bon,0.0028761536810474352
como,0.0028761536810474352
tota,0.002790298347284825
mea,0.0027688345138441725
vole,0.0027688345138441725
cosa,0.0027473706804035203
acel,0.00266151534664091
dise,0.0026400515132002575
ci,0.00231809401159047
vos,0.0022966301781498174
ca,0.0022107748443872077
come,0.0021678471775059024
grande,0.0021463833440652502
ta,0.0021463833440652502
maria,0.0021249195106245976
sabe,0.002103455677183945
persones,0.0020819918437432927
ma,0.00206052801030264
vive,0.00197467267654003
vade,0.00188881734277742
aora,0.0017814981755741575
debe,0.0017814981755741575
lingua,0.0017814981755741575
asi,0.001760034342133505
otra,0.001760034342133505
do,0.0016956428418115476
fia,0.0016956428418115476
mar,0.0016956428418115476
tua,0.0016956428418115476
se,0.001674179008370895
ama,0.0016527151749302425
pos,0.0016527151749302425
parla,0.0016097875080489374
du,0.001588323674608285
vide,0.00154539600772698
cada,0.0015239321742863275
pensa,0.0015239321742863275
tenis,0.0015239321742863275
labora,0.0015024683408456751
jua,0.00145954067396437
bela,0.001416613007083065
musica,0.001416613007083065
comensa,0.0013736853402017601
om,0.0013736853402017601
dia,0.0013092938398798024
veni,0.0013092938398798024
libro,0.00128783000643915
nada,0.00128783000643915
fini,0.0012663661729984976
sin,0.001244902339557845
tre,0.0012234385061171925
usa,0.0012234385061171925
compra,0.00120197467267654
tan,0.00120197467267654
asta,0.001159047005795235
fem,0.001159047005795235
sola,0.001159047005795235
tra,0.001159047005795235
contra,0.00111611933891393
person,0.00111611933891393
scrive,0.00111611933891393
casa,0.0010946555054732775
abri,0.0010731916720326251
ante,0.0010731916720326251
aveni,0.0010731916720326251
sempre,0.0010731916720326251
si,0.0010731916720326251
mori,0.0010517278385919725
rus,0.0010517278385919725
semana,0.0010517278385919725
anios,0.0010088001717106676
ancora,9.87336338270015e-4
nom,9.87336338270015e-4
perce,9.87336338270015e-4
brasilera,9.658725048293626e-4
cor,9.658725048293626e-4
deveni,9.4440867138871e-4
epo,9.4440867138871e-4
vera,9.4440867138871e-4
pais,9.229448379480575e-4
prima,9.229448379480575e-4
demanda,9.014810045074051e-4
leje,9.014810045074051e-4
mesma,9.014810045074051e-4
papilios,9.014810045074051e-4
acua,8.800171710667525e-4
bevi,8.800171710667525e-4
olimpial,8.800171710667525e-4
por,8.800171710667525e-4
sude,8.800171710667525e-4
tur,8.800171710667525e-4
media,8.585533376261e-4
nova,8.585533376261e-4
pasea,8.585533376261e-4
peti,8.585533376261e-4
tempo,8.585533376261e-4
xico,8.585533376261e-4
aprende,8.370895041854475e-4
entre,8.370895041854475e-4
nunca,8.370895041854475e-4
veses,8.370895041854475e-4
cuasi,8.15625670744795e-4
dona,8.15625670744795e-4
ja,8.15625670744795e-4
sirca,8.15625670744795e-4
usada,8.15625670744795e-4
aida,7.941618373041425e-4
ance,7.941618373041425e-4
comprende,7.941618373041425e-4
mostra,7.941618373041425e-4
an,7.7269800386349e-4
oji,7.7269800386349e-4
studia,7.7269800386349e-4
conose,7.512341704228376e-4
enfantes,7.512341704228376e-4
rio,7.512341704228376e-4
esperanto,7.29770336982185e-4
poma,7.29770336982185e-4
site,7.29770336982185e-4
trova,7.29770336982185e-4
brasil,7.083065035415325e-4
felis,7.083065035415325e-4
cuanto,6.868426701008801e-4
des,6.868426701008801e-4
rapida,6.868426701008801e-4
brosi,6.653788366602275e-4
scola,6.653788366602275e-4
xina,6.653788366602275e-4
crede,6.43915003219575e-4
dias,6.43915003219575e-4
forte,6.43915003219575e-4
juas,6.43915003219575e-4
nesesa,6.43915003219575e-4
papilio,6.43915003219575e-4
pasada,6.43915003219575e-4
cosas,6.224511697789225e-4
favore,6.224511697789225e-4
pluve,6.224511697789225e-4
boston,6.0098733633827e-4
eng,6.0098733633827e-4
gania,6.0098733633827e-4
madre,6.0098733633827e-4
norde,6.0098733633827e-4
nun,6.0098733633827e-4
roja,6.0098733633827e-4
ala,5.795235028976175e-4
comun,5.795235028976175e-4
doman,5.795235028976175e-4
gato,5.795235028976175e-4
jonguo,5.795235028976175e-4
libros,5.795235028976175e-4
loca,5.795235028976175e-4
plase,5.795235028976175e-4
sielo,5.795235028976175e-4
algun,5.58059669456965e-4
can,5.58059669456965e-4
mal,5.58059669456965e-4
parte,5.58059669456965e-4
prosima,5.58059669456965e-4
vea,5.58059669456965e-4
atenta,5.365958360163126e-4
auto,5.365958360163126e-4
besa,5.365958360163126e-4
cafe,5.365958360163126e-4
ge,5.365958360163126e-4
mone,5.365958360163126e-4
nasion,5.365958360163126e-4
oios,5.365958360163126e-4
tal,5.365958360163126e-4
tipal,5.365958360163126e-4
era,5.1513200257566e-4
estas,5.1513200257566e-4
ier,5.1513200257566e-4
importante,5.1513200257566e-4
mata,5.1513200257566e-4
matina,5.1513200257566e-4
min,5.1513200257566e-4
pan,5.1513200257566e-4
sol,5.1513200257566e-4
xica,5.1513200257566e-4
abita,4.936681691350075e-4
anio,4.936681691350075e-4
coce,4.936681691350075e-4
desira,4.936681691350075e-4
enfante,4.936681691350075e-4
linguas,4.936681691350075e-4
new,4.936681691350075e-4
olimpiales,4.936681691350075e-4
pare,4.936681691350075e-4
parolas,4.936681691350075e-4
porta,4.936681691350075e-4
senti,4.936681691350075e-4
sinco,4.936681691350075e-4
umana,4.936681691350075e-4
ves,4.936681691350075e-4
viaja,4.936681691350075e-4
blu,4.72204335694355e-4
cade,4.72204335694355e-4
dentes,4.72204335694355e-4
dormi,4.72204335694355e-4
è,4.72204335694355e-4
fasil,4.72204335694355e-4
oia,4.72204335694355e-4
pico,4.72204335694355e-4
responde,4.72204335694355e-4
alta,4.5074050225370253e-4
cambia,4.5074050225370253e-4
causa,4.5074050225370253e-4
cualce,4.5074050225370253e-4
dial,4.5074050225370253e-4
difisil,4.5074050225370253e-4
lus,4.5074050225370253e-4
padre,4.5074050225370253e-4
proba,4.5074050225370253e-4
salva,4.5074050225370253e-4
spesial,4.5074050225370253e-4
tro,4.5074050225370253e-4
cadun,4.2927666881305e-4
canta,4.2927666881305e-4
capeles,4.2927666881305e-4
car,4.2927666881305e-4
familia,4.2927666881305e-4
japan,4.2927666881305e-4
ora,4.2927666881305e-4
pasa,4.2927666881305e-4
prende,4.2927666881305e-4
