word_id,word,gramatica,capital,en,defini,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,eo,es,fr,gl,he,mt,ru
1,a,simbol,NA,a,la letera prima de la alfabeta roman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a,a (lettre de l'alphabet),NA,he: האות הראשונה באלפבית הלטיני,NA,NA
2,a,preposada,NA,at,indicante un loca o tempo como un punto simple - may be incomplete,Nota la difere entre `me instrui el a comprende` (cual sinifia `me instrui el afin _el_ comprende`) e `me instrui el per comprende` (cual sinifia `me instrui el afin _me_ comprende`). :: `Me instrui tu a comprende` means that I want _you_ to understand,ante,NA,NA,NA,NA,nos senta a la table; la barco es a mar; me va parti a la fini de la semana; a 26 julio 1887; a la ora des-sinco,NA,i,bei,ĉe,a,à,en (no mesmo lugar que),ב-,NA,в
3,a,esclama,NA,ah,espresante ce on es surprendeda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ha,ah,ah,NA,אה,NA,ru: ааа
4,a-,prefisa tecnical,NA,a-,non-,NA,NA,de elenica a- (no,NA,NA,NA,NA,NA,NA,NA,NA,a-,a-,NA,he: (סיומת טכנית) ללא,NA,NA
5,-a,sufisa nom,NA,female; fruit,ajuntada a alga nomes mas con la coda `-o` per nomi la fema corespondente; ajuntada a la nom de un arbor con la coda `-o` per formi la nom de sua fruta o noza,NA,-o,NA,NA,NA,NA,tio/tia; pero/pera; oranio/orania,NA,NA,NA,NA,femenino,féminin,NA,he: (סיומת) הצורה הנקבית (במילים מסוימות),NA,NA
6,aa,corti,NA,before now,ante aora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,antaŭ nun,hace...,il y a... (avant maintenant),NA,(קיצור) לפני,NA,ru: до сего (этого) момента
7,abaco,nom matematica util arciteta,NA,abacus,un util per calcula con perletas liscable; un bloco plata sur la capital de un colona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abako,ábaco,boulier,NA,אבקוס,NA,ru: счёты
8,abade,nom relijio,NA,abbot,la xef de un grupo de monces mas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abato,abad,abbé,NA,ראש מנזר,NA,ru: аббат
8,abade xef,nom,NA,head abbot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,archimandrita (en iglesias ortodoxas e iglesias orientales católicas),archimandrite,NA,ראש מנזר,NA,ru: архимандрит
8,abadal,ajetivo,NA,abbatial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abacial,abbatiale,NA,מנזרי,NA,ru: аббатский
8,abaderia,nom,NA,abbey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abatejo,abadía,abbaye,NA,מנזר,NA,ru: аббатство
8,abadesa,nom,NA,abbess,la xef de un grupo de monces fema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abatino,abadesa,abbesse,NA,ראש מנזר נשים,NA,ru: аббатиса
8,abadia,nom,NA,abbacy (post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abadía,charge d'abbé,NA,כהונת ראש המנזר,NA,ru: период игуменства
9,abaia,verbo transitiva,NA,bark; squawk,cria forte e subita,NA,NA,NA,NA,NA,NA,abaia un comanda,NA,NA,NA,boji,ladrar,aboyer,NA,לנבוח,NA,ru: лаять; каркать; кричать (о чайках)
9,abaia,nom,NA,bark; squawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bojo,ladrido,aboiement,NA,נביחה,NA,ru: лай
9,abaieta,verbo transitiva,NA,yap,cria forte e alta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ladrar,japper,NA,ליילל (כמו גור כלבים),NA,ru: тявкать
